flops,iteration,metric_value,learning_rate,batch_size,num_layers
1000000000000.0,0,17.262214237697446,0.01,256.0,5.0
1000000000000.0,1,10.05972974168533,0.00019579250709528276,256.0,5.0
1000000000000.0,2,16.858487493679274,0.00510744775086488,256.0,5.0
1000000000000.0,3,-100.0,2.6086022527814775e-05,256.0,5.0
1000000000000.0,4,-100.0,7.505648164127546e-06,256.0,5.0
1000000000000.0,5,-100.0,5.113538021671286e-06,256.0,5.0
1000000000000.0,6,-100.0,2.741662355953726e-06,256.0,5.0
1000000000000.0,7,-100.0,1.8651231835921934e-06,256.0,5.0
1000000000000.0,8,-100.0,1.8651231835921934e-06,346.736067003063,5.0
1000000000000.0,9,-100.0,1.8651231835921934e-06,1512.0665252148913,5.0
1000000000000.0,10,-100.0,1.8651231835921934e-06,3757.0593800235206,5.0
1000000000000.0,11,-100.0,1.8651231835921934e-06,6593.906415438583,5.0
1000000000000.0,12,-100.0,1.8651231835921934e-06,9678.531473722407,5.0
1000000000000.0,13,-100.0,1.8651231835921934e-06,9678.531473722407,38.8146351137604
1000000000000.0,14,-100.0,1.8651231835921934e-06,9678.531473722407,62.18536488623958
1000000000000.0,15,-100.0,1.8651231835921934e-06,9678.531473722407,76.6292702275208
1000000000000.0,16,-100.0,1.8651231835921934e-06,9678.531473722407,85.55609465871876
1000000000000.0,17,-100.0,1.8651231835921934e-06,9678.531473722407,91.07317556880204
1000000000000.0,18,-100.0,1.8651231835921934e-06,9678.531473722407,94.48291908991672
1000000000000.0,19,-100.0,1.8651231835921934e-06,9678.531473722407,96.59025647888534
1000000000000.0,20,-100.0,1.8651231835921934e-06,9678.531473722407,97.8926626110314
1000000000000.0,21,-100.0,1.8651231835921934e-06,9678.531473722407,98.69759386785394
1000000000000.0,22,-100.0,1.8651231835921934e-06,9678.531473722407,99.19506874317744
1000000000000.0,23,-100.0,1.8651231835921934e-06,9678.531473722407,99.5025251246765
1000000000000.0,24,-100.0,1.8651231835921934e-06,9678.531473722407,99.69254361850096
1000000000000.0,25,-100.0,1.81383974388418e-06,9793.358733587873,100.0
1000000000000.0,26,-100.0,0.00046587831871474825,936.6747890706334,38.8146351137604
1000000000000.0,27,-100.0,5.595760154850527e-05,2295.8480805500303,62.18536488623958
1000000000000.0,28,-100.0,1.3375509156654799e-05,4206.020705450955,77.96745604564444
1000000000000.0,29,-100.0,1.3375509156654799e-05,4206.020705450955,38.8146351137604
1000000000000.0,30,-100.0,1.3375509156654799e-05,4206.020705450955,62.18536488623958
1000000000000.0,31,-100.0,1.3375509156654799e-05,4206.020705450955,76.6292702275208
1000000000000.0,32,-100.0,1.3375509156654799e-05,4206.020705450955,85.55609465871876
1000000000000.0,33,-100.0,1.3375509156654799e-05,4206.020705450955,91.07317556880204
1000000000000.0,34,-100.0,1.3375509156654799e-05,4206.020705450955,94.48291908991672
1000000000000.0,35,-100.0,1.3375509156654799e-05,4206.020705450955,96.59025647888532
1000000000000.0,36,-100.0,1.3375509156654799e-05,4206.020705450955,97.8926626110314
1000000000000.0,37,-100.0,1.3375509156654799e-05,4206.020705450955,98.69759386785394
1000000000000.0,38,-100.0,1.3375509156654799e-05,4206.020705450955,99.19506874317744
1000000000000.0,39,-100.0,1.3375509156654799e-05,4206.020705450955,99.5025251246765
1000000000000.0,40,-100.0,1.3375509156654799e-05,4206.020705450955,99.69254361850096
1000000000000.0,41,-100.0,1.3375509156654799e-05,346.736067003063,99.69254361850096
1000000000000.0,42,-100.0,1.3375509156654799e-05,1512.0665252148926,99.69254361850096
1000000000000.0,43,-100.0,1.3375509156654799e-05,3757.0593800235206,99.69254361850096
1000000000000.0,44,-100.0,1.3375509156654799e-05,6593.906415438583,99.69254361850096
1000000000000.0,45,-100.0,1.3375509156654799e-05,9678.53107189606,99.69254361850096
