name,slope,intercept,log_space,r2
learning_rate,0.0,-4.583592135001262,True,0.0
batch_size,0.0,2.4082399653118496,True,0.0
num_layers,0.0,5.0,False,0.0
performance,0.0,-100.0,False,0.0
